"account_number","suite","house_number","street_name","garage","neighbourhood_id","neighbourhood","ward","assessed_value","latitude","longitude","point_location","tax_class_pct_1","tax_class_pct_2","tax_class_pct_3","mill_class_1","mill_class_2","mill_class_3"
"1200039",,"18708","61 AVENUE NW","N","4220","JAMIESON PLACE","sipiwiyiniwak Ward","309500","53.49509045543293","-113.6479789975193","POINT (-113.6479789975193 53.49509045543293)","100",,,"RESIDENTIAL",,
"1036250",,"18004","96 STREET NW","Y","2450","LAGO LINDO","tastawiyiniwak Ward","481500","53.64157184566387","-113.49057002377585","POINT (-113.49057002377585 53.64157184566387)","100",,,"RESIDENTIAL",,
"1119593",,"22943","110 AVENUE NW","N","4670","WINTERBURN INDUSTRIAL AREA WEST","Nakota Isga Ward","1720500","53.55648989440806","-113.71171632624201","POINT (-113.71171632624201 53.55648989440806)","100",,,"COMMERCIAL",,
"1012616",,"1048","107 STREET NW","Y","5030","BEARSPAW","Ipiihkoohkanipiaohtsi Ward","422500","53.44129299365035","-113.50245148501087","POINT (-113.50245148501087 53.44129299365035)","100",,,"RESIDENTIAL",,
"1197060","8","7604","29 AVENUE NW","N","6340","KAMEYOSEK","Karhiio Ward","153000","53.460921936964624","-113.4470620330178","POINT (-113.4470620330178 53.460921936964624)","100",,,"RESIDENTIAL",,
"1309145",,"9525","150 STREET NW","Y","4580","WEST JASPER PLACE","Nakota Isga Ward","325000","53.532363657157205","-113.57929539836265","POINT (-113.57929539836265 53.532363657157205)","100",,,"RESIDENTIAL",,
"1373919",,"16458","104A AVENUE NW","Y","4060","BRITANNIA YOUNGSTOWN","Nakota Isga Ward","323500","53.54788207571731","-113.60738101721262","POINT (-113.60738101721262 53.54788207571731)","100",,,"RESIDENTIAL",,
"1235001","1600","10149","SASKATCHEWAN DRIVE NW","N","5480","STRATHCONA","papastew Ward","189500","53.52349869022008","-113.49387075218355","POINT (-113.49387075218355 53.52349869022008)","100",,,"RESIDENTIAL",,
"1294685","56","14620","26 STREET NW","N","2280","FRASER","Dene Ward","143000","53.61091518703206","-113.38007816269625","POINT (-113.38007816269625 53.61091518703206)","100",,,"RESIDENTIAL",,
"1269240",,"8951","151 STREET NW","Y","4230","JASPER PARK","sipiwiyiniwak Ward","296500","53.52280223465965","-113.58106123331326","POINT (-113.58106123331326 53.52280223465965)","100",,,"RESIDENTIAL",,
"1234178","809","10149","SASKATCHEWAN DRIVE NW","N","5480","STRATHCONA","papastew Ward","179500","53.52349869022008","-113.49387075218355","POINT (-113.49387075218355 53.52349869022008)","100",,,"RESIDENTIAL",,
"1015270",,"1120","108 STREET NW","Y","5030","BEARSPAW","Ipiihkoohkanipiaohtsi Ward","572000","53.44280318642135","-113.50295848774195","POINT (-113.50295848774195 53.44280318642135)","100",,,"RESIDENTIAL",,
"1005503","101","11429","124 STREET NW","N","3240","INGLEWOOD","Anirniq Ward","121000","53.56473554691068","-113.53542050666546","POINT (-113.53542050666546 53.56473554691068)","100",,,"RESIDENTIAL",,
